trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
6727732740651522,09:56:00,09:56:00,2393,2,,
6727732740651522,09:58:00,09:58:00,2463,3,,
6727732740651522,09:59:00,09:59:00,2430,4,,
6727732750651522,12:30:00,12:30:00,2539,1,,
6727732750651522,12:31:00,12:31:00,2393,2,,
6727732750651522,12:33:00,12:33:00,2463,3,,
6727732750651522,12:34:00,12:34:00,2430,4,,
6727732760651522,12:30:00,12:30:00,2539,1,,
6727732760651522,12:31:00,12:31:00,2393,2,,
6727732760651522,12:33:00,12:33:00,2463,3,,
6727732760651522,12:34:00,12:34:00,2430,4,,
6727732770651522,10:01:00,10:01:00,2539,1,,
6727732770651522,10:02:00,10:02:00,2393,2,,
6727732770651522,10:04:00,10:04:00,2463,3,,
6727732770651522,10:05:00,10:05:00,2430,4,,
6827732720651522,13:51:00,13:51:00,2539,1,,
6827732720651522,13:52:00,13:52:00,2393,2,,
6827732720651522,13:54:00,13:54:00,2463,3,,
6827732720651522,13:55:00,13:55:00,2430,4,,
6827732730651522,11:08:00,11:08:00,2539,1,,
6827732730651522,11:09:00,11:09:00,2393,2,,
6827732730651522,11:11:00,11:11:00,2463,3,,
6827732730651522,11:12:00,11:12:00,2430,4,,
6827732740651522,10:00:00,10:00:00,2539,1,,
6827732740651522,10:01:00,10:01:00,2393,2,,
6827732740651522,10:02:00,10:02:00,2463,3,,
6827732740651522,10:03:00,10:03:00,2430,4,,
6827732750651522,12:36:00,12:36:00,2539,1,,
6827732750651522,12:37:00,12:37:00,2393,2,,
6827732750651522,12:38:00,12:38:00,2463,3,,
6827732750651522,12:39:00,12:39:00,2430,4,,
6827732760651522,12:36:00,12:36:00,2539,1,,
6827732760651522,12:37:00,12:37:00,2393,2,,
6827732760651522,12:38:00,12:38:00,2463,3,,
6827732760651522,12:39:00,12:39:00,2430,4,,
6827732770651522,10:05:00,10:05:00,2539,1,,
6827732770651522,10:06:00,10:06:00,2393,2,,
6827732770651522,10:08:00,10:08:00,2463,3,,
6827732770651522,10:09:00,10:09:00,2430,4,,
6927732720651522,13:56:00,13:56:00,2539,1,,
6927732720651522,13:57:00,13:57:00,2393,2,,
6927732720651522,13:59:00,13:59:00,2463,3,,
6927732720651522,14:00:00,14:00:00,2430,4,,
6927732730651522,11:13:00,11:13:00,2539,1,,
6927732730651522,11:14:00,11:14:00,2393,2,,
6927732730651522,11:15:00,11:15:00,2463,3,,
6927732730651522,11:16:00,11:16:00,2430,4,,
